Name of movie,Year of release,Watch_time,Movies rating,Votes,Grosses
The Shawshank Redemption,1994,142 min,9.3,"2,782,385",$28.34M
The Godfather,1972,175 min,9.2,"1,937,301",$134.97M
The Dark Knight,2008,152 min,9.0,"2,760,613",$534.86M
Schindler's List,1993,195 min,9.0,"1,400,086",$96.90M
12 Angry Men,1957,96 min,9.0,"826,015",$4.36M
The Lord of the Rings: The Return of the King,2003,201 min,9.0,"1,906,997",$377.85M
The Godfather Part II,1974,202 min,9.0,"1,316,749",$57.30M
Pulp Fiction,1994,154 min,8.9,"2,134,764",$107.93M
Spider-Man: Across the Spider-Verse,2023,140 min,8.8,"213,808",#15
Inception,2010,148 min,8.8,"2,450,874",$292.58M
Fight Club,1999,139 min,8.8,"2,217,517",$37.03M
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,"1,935,187",$315.54M
Forrest Gump,1994,142 min,8.8,"2,164,102",$330.25M
"Il buono, il brutto, il cattivo",1966,161 min,8.8,"785,337",$6.10M
The Lord of the Rings: The Two Towers,2002,179 min,8.8,"1,720,826",$342.55M
Jai Bhim,2021,164 min,8.8,"209,007",#219
777 Charlie,2022,136 min,8.8,"36,002",^^^
Interstellar,2014,169 min,8.7,"1,964,340",$188.02M
Goodfellas,1990,145 min,8.7,"1,207,193",$46.84M
One Flew Over the Cuckoo's Nest,1975,133 min,8.7,"1,038,614",$112.00M
The Matrix,1999,136 min,8.7,"1,979,597",$171.48M
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,"1,335,136",$290.48M
Rocketry: The Nambi Effect,2022,157 min,8.7,"54,625",^^^
Soorarai Pottru,2020,153 min,8.7,"120,306",^^^
Oppenheimer,2023,180 min,8.6,"329,427",#31
Se7en,1995,127 min,8.6,"1,721,685",$100.13M
The Silence of the Lambs,1991,118 min,8.6,"1,484,380",$130.74M
Saving Private Ryan,1998,169 min,8.6,"1,441,238",$216.54M
Terminator 2: Judgment Day,1991,137 min,8.6,"1,135,762",$204.84M
Star Wars,1977,121 min,8.6,"1,407,149",$322.74M
The Green Mile,1999,189 min,8.6,"1,352,335",$136.80M
Sen to Chihiro no kamikakushi,2001,125 min,8.6,"803,301",$10.06M
Cidade de Deus,2002,130 min,8.6,"778,039",$7.56M
La vita è bella,1997,116 min,8.6,"718,580",$57.60M
It's a Wonderful Life,1946,130 min,8.6,"476,763",#21
Shichinin no samurai,1954,207 min,8.6,"356,216",$0.27M
Seppuku,1962,133 min,8.6,"62,818",#47
Sita Ramam,2022,163 min,8.6,"61,939",^^^
The Prestige,2006,130 min,8.5,"1,386,115",$53.09M
The Departed,2006,151 min,8.5,"1,372,164",$132.38M
Gisaengchung,2019,132 min,8.5,"877,056",$53.37M
Alien,1979,117 min,8.5,"913,772",$78.90M
Gladiator,2000,155 min,8.5,"1,553,044",$187.71M
Back to the Future,1985,116 min,8.5,"1,255,703",$210.61M
Whiplash,2014,106 min,8.5,"923,254",$13.09M
Léon,1994,110 min,8.5,"1,202,628",$19.50M
The Pianist,2002,150 min,8.5,"870,326",$32.57M
Psycho,1960,109 min,8.5,"694,851",$32.00M
The Usual Suspects,1995,106 min,8.5,"1,113,982",$23.34M
The Lion King,1994,88 min,8.5,"1,099,138",$422.78M
American History X,1998,119 min,8.5,"1,153,138",$6.72M
Hotaru no haka,1988,89 min,8.5,"292,687",#46
The Intouchables,2011,112 min,8.5,"892,399",$13.18M
Casablanca,1942,102 min,8.5,"589,188",$1.02M
Once Upon a Time in the West,1968,165 min,8.5,"340,126",$5.32M
Rear Window,1954,112 min,8.5,"506,489",$36.76M
Nuovo Cinema Paradiso,1988,155 min,8.5,"271,961",$11.99M
City Lights,1931,87 min,8.5,"190,394",$0.02M
Modern Times,1936,87 min,8.5,"251,095",$0.16M
96,II 2018,158 min,8.5,"33,719",^^^
Memento,2000,113 min,8.4,"1,279,698",$25.54M
The Dark Knight Rises,2012,164 min,8.4,"1,765,195",$448.14M
Avengers: Endgame,2019,181 min,8.4,"1,204,100",$858.37M
Spider-Man: Into the Spider-Verse,2018,117 min,8.4,"618,788",$190.24M
Joker,I 2019,122 min,8.4,"1,385,688",$335.45M
Django Unchained,2012,165 min,8.4,"1,623,367",$162.81M
Raiders of the Lost Ark,1981,115 min,8.4,"1,008,166",$248.16M
Aliens,1986,137 min,8.4,"739,619",$85.16M
Oldeuboi,2003,101 min,8.4,"604,716",$0.71M
Apocalypse Now,1979,147 min,8.4,"688,577",$83.47M
The Shining,1980,146 min,8.4,"1,062,415",$44.02M
Avengers: Infinity War,2018,149 min,8.4,"1,145,734",$678.82M
Amadeus,1984,160 min,8.4,"414,244",$51.97M
Idi i smotri,1985,142 min,8.4,"88,624",#91
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.4,"504,513",$0.28M
Kimi no na wa.,2016,106 min,8.4,"295,041",$5.02M
Coco,I 2017,105 min,8.4,"548,091",$209.73M
WALL·E,2008,98 min,8.4,"1,157,543",$223.81M
The Lives of Others,2006,137 min,8.4,"399,709",$11.29M
3 Idiots,2009,170 min,8.4,"415,650",$6.53M
Capharnaüm,2018,126 min,8.4,"97,732",$1.66M
Das Boot,1981,149 min,8.4,"257,742",$11.49M
Paths of Glory,1957,88 min,8.4,"204,712",#62
Sunset Blvd.,1950,110 min,8.4,"229,300",#61
Witness for the Prosecution,1957,116 min,8.4,"131,482",$8.18M
The Great Dictator,1940,125 min,8.4,"230,848",$0.29M
Tengoku to jigoku,1963,143 min,8.4,"49,069",#87
Sardar Udham,2021,164 min,8.4,"44,775",^^^
Kaithi,2019,145 min,8.4,"37,051",^^^
Asuran,2019,141 min,8.4,"31,682",^^^
Drishyam 2,2021,152 min,8.4,"39,425",^^^
Top Gun: Maverick,2022,130 min,8.3,"620,319",$718.73M
Inglourious Basterds,2009,153 min,8.3,"1,513,712",$120.54M
Good Will Hunting,1997,126 min,8.3,"1,016,643",$138.43M
Scarface,1983,170 min,8.3,"878,460",$45.60M
Heat,1995,170 min,8.3,"687,135",$67.44M
Requiem for a Dream,2000,102 min,8.3,"870,249",$3.64M
American Beauty,1999,122 min,8.3,"1,181,668",$130.10M
2001: A Space Odyssey,1968,149 min,8.3,"693,587",$56.95M
Braveheart,1995,178 min,8.3,"1,064,053",$75.60M
